bodyid,name,type,PN_type,tract,glomerulus
5813039465,DL2v_adPN_R,DL2v_adPN,uPN,mALT,DL2v
5813038793,DL2v_adPN_R,DL2v_adPN,uPN,mALT,DL2v
1734420152,DL2v_adPN_R,DL2v_adPN,uPN,mALT,DL2v
1609542060,DL3_lPN_R,DL3_lPN,uPN,mALT,DL3
1609883245,DL3_lPN_R,DL3_lPN,uPN,mALT,DL3
1640568102,DL3_lPN_R,DL3_lPN,uPN,mALT,DL3
1670934213,DL4_adPN_R,DL4_adPN,uPN,mALT,DL4
693483018,DL5_adPN_R,DL5_adPN,uPN,mALT,DL5
542634818,DM1_lPN_R,DM1_lPN,uPN,mALT,DM1
5901222910,DM2_lPN_R,DM2_lPN,uPN,mALT,DM2
630714299,DM2_lPN_R,DM2_lPN,uPN,mALT,DM2
755518957,DM3_adPN_R,DM3_adPN,uPN,mALT,DM3
573333835,DM4_adPN_R,DM4_adPN,uPN,mALT,DM4
697485362,DM5_lPN_R,DM5_lPN,uPN,mALT,DM5
635416407,DM5_lPN_R,DM5_lPN,uPN,mALT,DM5
1764091241,DM6_adPN_R,DM6_adPN,uPN,mALT,DM6
788306624,DM6_adPN_R,DM6_adPN,uPN,mALT,DM6
5813070872,DM6_adPN_R,DM6_adPN,uPN,mALT,DM6
724816115,DP1l_adPN_R,DP1l_adPN,uPN,mALT,DP1l
635062078,DP1m_adPN_R,DP1m_adPN,uPN,mALT,DP1m
5812995098,VM6_lvPN_R,VM6_lvPN,uPN,mALT,VM6
726207450,VM4_lvPN_R,VM4_lvPN,uPN,mALT,VM4
1850024931,VM4_lvPN_R,VM4_lvPN,uPN,mALT,VM4
1851061177,VA1d_adPN_R,VA1d_adPN,uPN,mALT,VA1d
5813055162,VA1d_adPN_R,VA1d_adPN,uPN,mALT,VA1d
850375847,VA1d_adPN_R,VA1d_adPN,uPN,mALT,VA1d
5813024601,VA1v_adPN_R,VA1v_adPN,uPN,mALT,VA1v
1788300760,VA1v_adPN_R,VA1v_adPN,uPN,mALT,VA1v
